id,type,title,src,thumbnail
1,link,Paywall Bypass,media/1.jpeg,https://archive.ph/
2,link,Internet Archive,media/2.jpeg,https://archive.org/
3,link,Is California on Fire?,media/3.jpeg,http://iscaliforniaonfire.com/
4,link,This is Not an Atlas,media/4.jpeg,https://www.rosalux.de/fileadmin/rls_uploads/pdfs/sonst_publikationen/This_Is_Not_An_Atlas.pdf
5,link,Chess,media/5.jpeg,chess.com
6,link,Every Noise,media/6.jpeg,https://everynoise.com/engenremap.html
7,image,Spanish Door,media/7.JPG,
8,video,Skiing in the Andes,media/8.MP4,
9,image,"Hampi, India",media/9.JPG,
10,video,Jorja Smith,media/10.MOV,
11,image,Clouds,media/11.jpeg,
12,image,Snorkeling,media/12.jpg,
13,video,Big Sur,media/13.MOV,
14,video,Funny Feet,media/14.MOV,
15,image,Flower Market,media/15.JPG,
16,image,The Creation of Giraffe,media/16.jpeg,
17,image,Dubrovnik,media/17.JPG,
18,image,Argentine Sunset,media/18.jpeg,
19,image,Sorrento,media/19.jpeg,
20,image,A Small Saskas Sleeping on Some Salt,media/20.jpeg,
21,image,New Year's Sunrise,media/21.jpeg,
22,video,Grove Enjoying Bricks,media/22.MOV,
23,image,Flower Child,media/23.jpeg,
24,image,Streeeetch,media/24.jpeg,
25,image,Cezanne,media/25.jpeg,
26,image,Suspiros,media/26.jpeg,
27,image,Crab Hats,media/27.JPG,
28,image,I'm Not Touching You,media/28.jpeg,
29,image,Rainy Trail,media/29.jpeg,
30,image,Inca Trail,media/30.jpeg,
31,image,Disco Time,media/31.jpeg,
32,image,Jellies,media/32.jpeg,
33,image,Hampi Monkeys,media/33.jpeg,
34,image,Landscapes from Home,media/34.jpeg,
